review_id,review_text,aspect,sentiment
RVW_00001,"Wanginya pas buat saya..elegant, ringan, seger..box kemasannya keren, botolnya juga simple elwgant, keren..gak nyangka aja ownernya alumni ITB..😄",Aroma,positive
RVW_00001,"Wanginya pas buat saya..elegant, ringan, seger..box kemasannya keren, botolnya juga simple elwgant, keren..gak nyangka aja ownernya alumni ITB..😄",Packaging,positive
RVW_00002,Fix ini parfum hmns terbaik terenak terdebes. Bagi penyuka Citrus sih bakal SUKA BGTTTT. Tapi klo ga gitu suka wangi jejerukan bakal gasuka wkwk. Ketahanannya bisa 6 jam di baju duh cinta. Packagingnya juga gemes bgt. Makasih ya udh nyiptain iniii,Aroma,positive
RVW_00002,Fix ini parfum hmns terbaik terenak terdebes. Bagi penyuka Citrus sih bakal SUKA BGTTTT. Tapi klo ga gitu suka wangi jejerukan bakal gasuka wkwk. Ketahanannya bisa 6 jam di baju duh cinta. Packagingnya juga gemes bgt. Makasih ya udh nyiptain iniii,Longevity,positive
RVW_00002,Fix ini parfum hmns terbaik terenak terdebes. Bagi penyuka Citrus sih bakal SUKA BGTTTT. Tapi klo ga gitu suka wangi jejerukan bakal gasuka wkwk. Ketahanannya bisa 6 jam di baju duh cinta. Packagingnya juga gemes bgt. Makasih ya udh nyiptain iniii,Packaging,positive
RVW_00003,"produk sesuai deskripsi, produk berkualitas, harga bersaing, pengemasan baik, pengiriman baik",Value for Money,positive
RVW_00003,"produk sesuai deskripsi, produk berkualitas, harga bersaing, pengemasan baik, pengiriman baik",Packaging,positive
RVW_00004,"pengiriman aman dan cepat, belanja dapet harga oke dan pastinya di jamin ori berawal dari nyobain bodymist nya dan suka banget aroma segarnya yang ringan dan nyari tau untuk produk parfum dan langsung pesan ternyata aroma nya beda tipis tipis aja untuk ketahanan belom cobain",Value for Money,positive
RVW_00004,"pengiriman aman dan cepat, belanja dapet harga oke dan pastinya di jamin ori berawal dari nyobain bodymist nya dan suka banget aroma segarnya yang ringan dan nyari tau untuk produk parfum dan langsung pesan ternyata aroma nya beda tipis tipis aja untuk ketahanan belom cobain",Aroma,positive
RVW_00005,"packing aman banget, wangi ny bener2 se enakk itu, apa lagi pas udh dry done nya🥹🥹🥹, the besttt pwwollllll",Packaging,positive
RVW_00005,"packing aman banget, wangi ny bener2 se enakk itu, apa lagi pas udh dry done nya🥹🥹🥹, the besttt pwwollllll",Aroma,positive
RVW_00006,pertama kali beli philea langsung sukaaa dan jatuh cintaaaaa😍😍 Kualitas produk: wangi enak ga enek,Aroma,positive
RVW_00007,Kualitas produk: sukaa wanginyaa mantep wanginya,Aroma,positive
RVW_00008,"Kualitas produk: Bagus bangeettttt 💯 Udah cobain yg Elea skrg cobain yg Philea nya, double combo happy nyaaaa 💃🏻💃🏻💃🏻💕💕💕💕 Terimakasih all tim dan ka tsana , aku sukak produknya🙏🏻🤗",No Aspect,None
RVW_00009,"Kualitas produk: Wangii Suka bangettt, pengiriman aman, packaging jg rapih, wanginya perpaduan elea dan philea, agak strong tp sukaaa 🫶🏻",Aroma,positive
RVW_00009,"Kualitas produk: Wangii Suka bangettt, pengiriman aman, packaging jg rapih, wanginya perpaduan elea dan philea, agak strong tp sukaaa 🫶🏻",Packaging,positive
RVW_00010,OH MY GOD BEST BANGET WANGINYAA👍🏼 karakter wanginya perempuan yang cantik banget tapi tetep kalem wanginya nyaman di hidung😭😭 best blind buy deh pokoknyaa👍🏼,Aroma,positive
RVW_00011,"Cantik banget packaging nya. Memutuskan beli ini krn suka banget sama Elea. Ini tuh mirip bgt bgt bgt sama Elea at first spray, cuma Philea dry down nya turns into soft comfy but still fresh. Kalo Elea kan seger seharian gitu, ya gitu bedanya. Jd emg 2 twin sister ini best combo🫶🏻",Packaging,positive
RVW_00011,"Cantik banget packaging nya. Memutuskan beli ini krn suka banget sama Elea. Ini tuh mirip bgt bgt bgt sama Elea at first spray, cuma Philea dry down nya turns into soft comfy but still fresh. Kalo Elea kan seger seharian gitu, ya gitu bedanya. Jd emg 2 twin sister ini best combo🫶🏻",Aroma,positive
RVW_00012,Kualitas produk: SANGAT REKOMENDASI!!! GA MENYESAL SAMA SEKALI SAYANG PAUS DAN HMNS<3,No Aspect,None
RVW_00013,"Aromanya best dan lama2 aromanya lembut/kalem, untuk ketahanan awet sekitar 6jam an. Cocok digunakan aktivitas pagi & siang hari",Aroma,positive
RVW_00013,"Aromanya best dan lama2 aromanya lembut/kalem, untuk ketahanan awet sekitar 6jam an. Cocok digunakan aktivitas pagi & siang hari",Longevity,positive
RVW_00014,"wanginya sesuai ekspektasi , emng hmns gak pernah ggal sih wanginya . definisi cewe cantik yg sesungguhnya , fress floral yg gak nyegrak dihidung . mau coba yg eos ntar , soalnya baru beli yg bodymistnya aja udh wangi 💅🏻😍",Aroma,positive
RVW_00015,Pengemasan aman . Terima kasih ☘️☘️☘️,Packaging,positive
RVW_00016,"Akhirnya setelah menabung kebeli jugaa Wanginya enak fresh, cocok untuk siang outdoor nih, pengirimannya cepet banget lagi. Love love Dapet freenya juga",Aroma,positive
RVW_00017,"Baunya sih memang beda sama ELEA, tapi familiar wkwk gak tau gimana jelasinnya. Sama2 enak intinya. Kalo suka elea ya harusnya philea pun akan tetap suka karena sama soft nya.",Aroma,positive
RVW_00018,"Packaging nya kayak parfum expensive , wanginya 😍😍😍fresh ,enak bangett",Packaging,positive
RVW_00018,"Packaging nya kayak parfum expensive , wanginya 😍😍😍fresh ,enak bangett",Aroma,positive
RVW_00019,"Seller Amanah dengan Kualitas Produk yang sangat baik, 1st time coba HMNS Blind Buy semoga cocok di saya dan awet. Terima kasih seller dan Tiktok Shop..",Longevity,neutral
RVW_00020,SUMPAHHH INI ENAK BANGET WANGINYAAA 😭🫶🏻💖,Aroma,positive
RVW_00021,Suka banget sama wanginya🥰😍pengemasan nya jga aman banget,Aroma,positive
RVW_00021,Suka banget sama wanginya🥰😍pengemasan nya jga aman banget,Packaging,positive
RVW_00022,Bagus bangetttttttt cantikkk wangiiii,Aroma,positive
RVW_00023,"Aaaaaaa akhirnya datang jugaakk 😍 Sumpah ini baunya cantik bgt 🥹 Adain terus yaa min, supaya yg lain juga bisa bertumbuh sama philea❤️ Terima kasih banyak..",Aroma,positive
RVW_00024,"finally arrived home, my philea💚",No Aspect,None
RVW_00025,"Wanginya tuh cantik, soft, ada segernya jg diakhir nuttynya pun berasa Beneran berasa putri klo pake ini",Aroma,positive
RVW_00026,"Kualitas produk: Baguss banget, sukaaa bangett",No Aspect,None
RVW_00027,"my best purchase ever!!! happy bgt bener2 nunggu paketnya, wanginya aduh sesuai ekspektasi frist spray elea banget, pas dry down lebih soft. enak bgt jujur ga nyesel sih menurut ku semua balance. love!!🤍",Value for Money,positive
RVW_00027,"my best purchase ever!!! happy bgt bener2 nunggu paketnya, wanginya aduh sesuai ekspektasi frist spray elea banget, pas dry down lebih soft. enak bgt jujur ga nyesel sih menurut ku semua balance. love!!🤍",Aroma,positive
RVW_00028,"Akhirnya philea nya sampe juga. Awalnya ragu takut ga cocok wanginya di aku, tp stlh sniff bbrp kali akhirnya mantap beli karna ternyata sesuka itu sm wanginya. Pengirimannya aman, rapi, dan cepet pokoknya puas 🥰👍🏻",Aroma,positive
RVW_00029,"pengiriman cepet, wanginya worth it lah sampe rela ngewar. floral, orange blossom dan wanginya beneran enak soft. SPLnya masih moderate di aku",Value for Money,positive
RVW_00029,"pengiriman cepet, wanginya worth it lah sampe rela ngewar. floral, orange blossom dan wanginya beneran enak soft. SPLnya masih moderate di aku",Aroma,positive
RVW_00029,"pengiriman cepet, wanginya worth it lah sampe rela ngewar. floral, orange blossom dan wanginya beneran enak soft. SPLnya masih moderate di aku",Projection,neutral
RVW_00030,"wanginya enak dan segar, cocok sekali untuk daily ga bikin pusing",Aroma,positive
